,ax,ay,az,gx,gy,gz,label,segment_ID,animal_ID,timestamp_ms
68,-6.73042,6.70407,-3.07649,-28.9634,45.7927,23.2927,walking,1,fG1,681
69,-5.5971,7.02274,-2.93992,-2.13415,14.3293,34.7561,walking,1,fG1,691
70,-4.34878,7.39412,-2.46311,12.3171,6.28049,43.9024,walking,1,fG1,701
71,-4.1523,7.14733,-1.9863,22.622,9.02439,50.4268,walking,1,fG1,711
72,-4.36076,6.97002,-1.73232,38.2927,4.57317,53.9024,walking,1,fG1,721
73,-4.47337,7.17608,-1.85931,53.5976,-3.41463,54.7561,walking,1,fG1,731
74,-4.43503,7.83978,-1.79702,64.6341,-2.92683,52.5,walking,1,fG1,741
75,-4.40628,8.4316,-1.48074,67.6829,7.7439,47.1951,walking,1,fG1,751
76,-4.60994,8.62807,-1.15728,68.7805,17.9268,39.7561,walking,1,fG1,761
77,-4.95976,8.68318,-1.42324,65.122,17.1951,31.4634,walking,1,fG1,771
78,-5.1754,8.63526,-2.20673,54.7561,9.32927,23.9634,walking,1,fG1,781
79,-5.16342,8.74547,-2.53978,38.6585,4.87805,17.6829,walking,1,fG1,791
80,-4.98851,8.66641,-2.08933,19.5732,6.34146,12.378,walking,1,fG1,801
81,-4.85434,8.35492,-1.36813,4.69512,8.23171,6.76829,walking,1,fG1,811
82,-4.61474,8.14407,-0.944032,-2.92683,6.52439,-0.365854,walking,1,fG1,821
83,-4.18106,7.98354,-1.07821,-10.7927,2.5,-8.53659,walking,1,fG1,831
84,-3.57007,7.81103,-1.63648,-22.9268,2.31707,-16.8293,walking,1,fG1,841
85,-3.0118,7.37974,-1.83535,-36.7073,7.80488,-24.0244,walking,1,fG1,851
86,-2.96627,6.77595,-1.79462,-48.4146,11.2805,-28.9024,walking,1,fG1,861
87,-3.22265,6.28237,-1.88567,-53.5976,5.60976,-31.0366,walking,1,fG1,871
88,-3.66591,6.27039,-1.96953,-52.1341,-2.56098,-32.0122,walking,1,fG1,881
89,-5.058,6.68011,-2.52301,-47.622,-14.6341,-32.1951,walking,1,fG1,891
90,-6.70646,7.86134,-3.54851,-39.1463,-36.3415,-32.0122,walking,1,fG1,901
91,-6.80709,9.94588,-2.89918,-19.2073,-55.4268,-40.061,walking,1,fG1,911
92,-4.47816,12.5575,-0.311483,1.89024,-43.6585,-65.4268,walking,1,fG1,921
93,-4.49014,14.182,-0.472016,-23.2927,4.87805,-93.0488,walking,1,fG1,931
94,-7.42048,11.8914,-4.05167,-61.7683,17.0732,-92.7439,walking,1,fG1,941
95,-8.88205,9.67513,-4.89507,-61.5244,-14.878,-73.1098,walking,1,fG1,951
96,-9.61283,8.73589,-4.29606,-50.8537,-70.2439,-52.439,walking,1,fG1,961
97,-9.86681,8.68078,-4.47577,-29.3902,-130.793,-36.8293,walking,1,fG1,971
98,-9.42834,8.65682,-4.06365,0.487805,-180.549,-21.5854,walking,1,fG1,981
99,-8.07459,7.95718,-3.46225,48.4146,-218.476,-5.2439,walking,1,fG1,991
